A01,呪術廻戦,芥見下々
A02,SPY×FAMILY,遠藤達哉
A03,【推しの子】,赤坂アカ×横槍メンゴ
A04,ルックバック,藤本タツキ
A05,薬屋のひとりごと,日向夏
A06,WIND BREAKER,にいさとる
A07,逃げ上手の若君,松井優征
A08,ダイヤモンドの功罪,平井大橋
A09,アオのハコ,三浦糀
A10,君と宇宙を歩くために,泥ノ田犬彦
B01,進撃の巨人,諌山創
B02,ゴールデンカムイ,野田サトル
B03,鬼滅の刃,吾峠呼世晴
B04,約束のネバーランド,出水ぽすか
B05,鋼の錬金術師,荒川弘
B06,金色のガッシュ！！ 完全版,雷句誠
B07,闇金ウシジマくん,真鍋昌平
B08,ザ・ファブル,南勝久
B09,HELLSING,平野耕太
B10,甘々と稲妻,雨隠ギド
C01,ONE PIECE,尾田栄一郎
C02,HUNTER×HUNTER,冨樫義博
C03,キングダム,原泰久
C04,僕のヒーローアカデミア,堀越耕平
C05,怪獣8号,松本直也
C06,チェンソーマン,藤本タツキ
C07,NARUTO-ナルト-,岸本斉史
C08,アンデッドアンラック,戸塚慶文
C09,終末のワルキューレ,アジチカ
C10,黄泉のツガイ,荒川弘
D01,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,赤坂アカ
D02,山田くんとLv999の恋をする,ましろ
D03,薫る花は凛と咲く,三香見サカ
D04,うるわしの宵の月,やまもり三香
D05,わたしの幸せな結婚,顎木あくみ
D06,正反対な君と僕,阿賀沢紅茶
D07,その着せ替え人形は恋をする,福田普一
D08,からかい上手の高木さん,山本崇一朗
D09,ホタルの嫁入り,橘オレコ
D10,ワンナイト・モーニング,奥山ケニチ
E01,ハイキュー！！,古舘春一
E02,SLAM DUNK,井上雄彦
E03,ブルーロック,金城宗幸
E04,メダリスト,つるまいかだ
E05,アオアシ,小林有吾
E06,弱虫ペダル,渡辺航
E07,ダイヤのA,寺嶋裕二
E08,ダンス・ダンス・ダンスール,ジョージ朝倉
E09,忘却バッテリー,みかわ絵子
E10,I’ll ～アイル～,浅田弘幸
F01,銀魂,空知英秋
F02,ハコヅメ～交番女子の逆襲～,泰三子
F03,SAKAMOTO DAYS,鈴木祐斗
F04,ワンパンマン,ONE
F05,女の園の星,和山やま
F06,スキップとローファー,高松美咲
F07,極主夫道,おおのこうすけ
F08,じいさんばあさん若返る,新挑限
F09,吸血鬼すぐ死ぬ,盆ノ木至
F10,古見さんは、コミュ症です。,オダトモヒト
G01,葬送のフリーレン,山田鐘人
G02,ワールドトリガー,葦原大介
G03,マッシュル-MASHLE-,甲本一
G04,ブラッククローバー,田畠裕基
G05,王様ランキング,十日草輔
G06,Dr.STONE,稲垣理一郎
G07,転生したらスライムだった件,伏瀬
G08,魔法使いの嫁,ヤマザキコレ
G09,夏目友人帳,緑川ゆき
G10,魔導具師ダリヤはうつむかない～Dahliya Wilts No More～,甘岸久弥
H01,名探偵コナン,青山剛昌
H02,金田一少年の事件簿 File,さとうふみや
H03,東京卍リベンジャーズ,和久井健
H04,ミステリと言う勿れ,田村由美
H05,マイホームヒーロー,山川直輝
H06,変な家,雨穴
H07,憂国のモリアーティ,コナン・ドイル
H08,夏目アラタの結婚,乃木坂太郎
H09,僕だけがいない街,三部けい
H10,虚構推理,城平京
I01,ダンダダン,龍幸伸
I02,光が死んだ夏,モクモクれん
I03,東京喰種 トーキョーグール,石田スイ
I04,見える子ちゃん,泉朝樹
I05,寄生獣,岩明均
I06,彼岸島,松本光司
I07,死役所,あずみきし
I08,地獄先生ぬ〜べ〜 集英社文庫 コミック版,真倉翔
I09,アイアムアヒーロー,花沢健吾
I10,さんかく窓の外側は夜,ヤマシタトモコ
J01,君に届け,椎名軽穂
J02,ちはやふる,末次由紀
J03,NANA,矢沢あい
J04,のだめカンタービレ 新装版,二ノ宮知子
J05,海が走るエンドロール,たらちねジョン
J06,ゆびさきと恋々,森下suu
J07,違国日記,ヤマシタトモコ
J08,3月のライオン,羽海野チカ
J09,きのう何食べた？,よしながふみ
J10,逃げるは恥だが役に立つ,海野つなみ
